level	left	top	width	height	text	conf
word	29	25	30	29	jL	0.834
word	103	8	271	56	rHjF	0.876
word	423	5	9	10		0.500
word	511	15	25	24	Ll	0.832
word	579	13	153	44	t	0.835
word	785	1	322	52	I1	0.750
word	23	88	105	37	Hdj	0.889
word	171	84	157	39	LH	0.836
word	398	84	248	52	PMT	0.722
word	700	76	47	41	H	0.834
word	814	93	88	53	H	1.000
word	944	72	133	38	r	0.836
word	875	119	20	23		0.500
word	58	139	114	60	H	0.672
word	224	145	218	41	ILhuE	0.800
word	528	155	52	28		0.500
word	626	150	104	55	n	0.669
word	799	145	212	55		0.500
word	26	228	255	62	nHHrF	0.835
word	357	228	93	33		0.500
word	504	238	26	22	tH	0.834
word	614	237	162	39	F	0.834
word	820	219	54	54	r	0.833
word	918	221	187	59	rHHF	0.793
word	25	319	85	25	rh	0.916
word	159	311	60	30	Hnr	0.723
word	273	296	197	72	FLE	0.833
word	518	301	457	60	jluHlLH	0.810
word	1031	307	79	24	I	0.668
word	24	369	239	42	uLLjHmH	0.786
word	320	387	77	24	H	1.000
word	429	373	96	37	FT	0.917
word	568	366	250	58	HH	0.918
word	22	453	86	38	j	0.835
word	154	444	289	62	rt	0.669
word	498	451	68	45	L	0.834
word	606	450	108	46	E	0.669
word	758	455	296	56	Lr	0.749
word	32	532	200	42	qH	0.751
word	307	536	40	36		0.500
word	525	517	92	52	Hl	0.750
word	662	520	109	49	HH	0.834
word	840	522	206	60	H	0.835
word	212	553	13	14		0.500
word	19	601	80	45	H	0.834
word	278	619	127	28	H	0.834
word	485	617	51	24		0.500
word	616	597	71	45	T	0.667
word	731	587	49	61	L	0.841
word	832	596	149	44	lH	0.833
word	25	675	225	47	lHHTnl	0.807
word	300	672	170	64	L	0.835
